Product Name,Product Price,Product Camera,Product RAM,Product ROM,Product Display,Product Processor,Product Color,Product Rating
realme P3x 5G,11499,50MP Rear Camera | 8MP Front Camera,6 GB RAM,128,17.07 cm (6.72 inch) Full HD Display,Dimensity 6400,Midnight Blue,4.4
realme P3x 5G,12999,50MP Rear Camera | 8MP Front Camera,8 GB RAM,128,17.07 cm (6.72 inch) Full HD Display,Dimensity 6400,Midnight Blue,4.4
realme 15x 5G,19999,50MP Rear Camera | 50MP Front Camera,8 GB RAM,256,17.27 cm (6.8 inch) Display,Dimensity 6300 6nm Octa-core chipset,Marine Blue,4.3
realme Narzo 80 Lite 5G,10312,50MP Rear Camera,4 GB RAM,128,16.94 cm (6.67 inch) Display,,Onyx Black,4.3
realme 15x 5G,16999,50MP Rear Camera | 50MP Front Camera,6 GB RAM,128,17.27 cm (6.8 inch) Display,Dimensity 6300 6nm Octa-core chipset,Marine Blue,4.4
realme Narzo 80 Lite 5G,10599,50MP Rear Camera,6 GB RAM,128,16.94 cm (6.67 inch) Display,,Crystal Purple,4.3
realme 15x 5G,16999,50MP Rear Camera | 50MP Front Camera,6 GB RAM,128,17.27 cm (6.8 inch) Display,Dimensity 6300 6nm Octa-core chipset,Maroon Red,4.4
realme P3x 5G,11999,50MP Rear Camera | 8MP Front Camera,6 GB RAM,128,17.07 cm (6.72 inch) Full HD Display,Dimensity 6400,Stellar Pink,4.4
realme Narzo 80 Lite 5G,10616,50MP Rear Camera,6 GB RAM,128,16.94 cm (6.67 inch) Display,,Onyx Black,4.3
realme P3 Lite 5G,10499,32MP Rear Camera | 8MP Front Camera,4 GB RAM,128,16.94 cm (6.67 inch) Display,Dimensity 6300,Purple Blossom,4.4
realme Narzo 80 Lite 5G,11698,50MP Rear Camera,4 GB RAM,128,16.94 cm (6.67 inch) Display,,Crystal Purple,4.3
realme 15 Pro 5G,33999,50MP + 50MP | 50MP Front Camera,8 GB RAM,256,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4,Velvet Green,4.3
realme P3 Lite 5G,10499,32MP Rear Camera | 8MP Front Camera,4 GB RAM,128,16.94 cm (6.67 inch) Display,Dimensity 6300,Midnight Lily,4.4
realme 15 5G,27999,50MP + 8MP | 50MP Front Camera,8 GB RAM,256,17.27 cm (6.8 inch) Display,Mediatek Dimensity 7300+ 5G,Velvet Green,4.4
realme 15 Pro 5G,35999,50MP + 50MP | 50MP Front Camera,12 GB RAM,256,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4,Flowing Silver,4.3
realme P3x 5G,11999,50MP Rear Camera | 8MP Front Camera,6 GB RAM,128,17.07 cm (6.72 inch) Full HD Display,Dimensity 6400,Lunar Silver,4.4
realme P3 5G,15999,50MP + 2MP | 16MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,6 Gen 4,Space Silver,4.4
realme 15 5G,27999,50MP + 8MP | 50MP Front Camera,8 GB RAM,256,17.27 cm (6.8 inch) Display,Mediatek Dimensity 7300+ 5G,Silk Pink,4.4
realme 14 Pro+ 5G,24999,50MP + 50MP + 8MP | 32MP Front Camera,8 GB RAM,256,17.35 cm (6.83 inch) Display,7s Gen 3 Mobile Platform,Emerald Drift,4.4
realme 15T 5G,22999,50MP + 2MP | 50MP Front Camera,8 GB RAM,256,16.69 cm (6.57 inch) Full HD Display,MediaTek Dimensity 6400 MAX,Flowing Silver,4.3
realme P4 5G,17999,50MP + 8MP | 16MP Front Camera,6 GB RAM,128,17.2 cm (6.77 inch) Display,Mediatek Dimensity 7400,Engine Blue,4.4
